0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
10 0.99 0.99 1.00 1.00 1.00 0.99 0.99 0.99
15 0.98 0.98 0.99 0.99 0.99 0.98 0.98 0.98
20 0.96 0.97 0.98 0.98 0.97 0.97 0.97 0.96
25 0.93 0.95 0.96 0.96 0.95 0.95 0.95 0.94
30 0.91 0.92 0.94 0.94 0.93 0.93 0.93 0.91
35 0.88 0.90 0.92 0.91 0.90 0.90 0.90 0.89
40 0.84 0.87 0.89 0.88 0.87 0.87 0.87 0.85
45 0.80 0.83 0.86 0.85 0.83 0.84 0.84 0.82
50 0.76 0.80 0.83 0.82 0.79 0.80 0.81 0.78
55 0.72 0.76 0.80 0.78 0.75 0.76 0.78 0.75
60 0.67 0.72 0.76 0.74 0.70 0.73 0.74 0.71
65 0.63 0.68 0.73 0.70 0.66 0.69 0.71 0.67
